date,symbol,price_usd,volume_usd,market_cap_usd
2024-02-28,XRP,0.5873753685082636,2403061003.604541,32057564181.92216
2024-02-29,XRP,0.5765292216052678,3059403882.3157825,31498950908.97578
2024-03-01,XRP,0.5872867206934944,3649152111.4455633,32142327275.936535
2024-03-02,XRP,0.6016177948889795,1719967801.8693898,32886853959.017418
2024-03-03,XRP,0.6435751496240234,2839786692.0332294,35177521995.136826
2024-03-04,XRP,0.6266994908696154,2001172807.461925,34205236865.55742
2024-03-05,XRP,0.6511778302883091,3572922225.9265466,35570744477.8359
2024-03-06,XRP,0.5952832703420226,4815021313.537044,32556305182.55615
2024-03-07,XRP,0.6129159478882317,2732925867.3626947,33475073207.13946
2024-03-08,XRP,0.628380182183506,2485835659.273788,34344683478.72519
2024-03-09,XRP,0.6214824363419392,2106352494.9701383,34010002110.24703
2024-03-10,XRP,0.6225142290687391,1496931817.9516265,34079105232.518787
2024-03-11,XRP,0.6085560455287963,1450316469.3279638,33320881309.13065
2024-03-12,XRP,0.717049252482876,6434513108.07779,39250118653.47248
2024-03-13,XRP,0.6886932062458541,4041001873.5863333,37673391344.52034
2024-03-14,XRP,0.6896545611989557,2315352945.3265333,37735077222.23291
2024-03-15,XRP,0.6691754077171835,3239649834.2935567,36663647065.34197
2024-03-16,XRP,0.6342637439068659,3593312666.2837462,34831116403.04182
2024-03-17,XRP,0.6023073384430556,2112513797.1896114,33052737666.158787
2024-03-18,XRP,0.6191470281067634,1790113429.9921577,33933430301.468998
2024-03-19,XRP,0.6539066224226806,2689094030.3158493,35964811193.48887
2024-03-20,XRP,0.5852400045025551,3542818992.7221446,32111361436.644672
2024-03-21,XRP,0.6117015793252986,2691356105.058331,33576953684.137825
2024-03-22,XRP,0.6413290562765901,2663426301.418115,35222340002.48496
2024-03-23,XRP,0.6105734569688421,1995119918.3362052,33496651762.91828
2024-03-24,XRP,0.6181207994500303,1086083071.5519457,33955269548.044724
2024-03-25,XRP,0.6337118239432603,1195280193.029194,34809757519.99831
2024-03-26,XRP,0.6400376129032882,2070728050.051508,35057837184.65749
2024-03-27,XRP,0.6328659194902784,1759776337.9005775,34676270602.72719
2024-03-28,XRP,0.612301666174284,1951433459.9235,33513188302.808548
2024-03-29,XRP,0.624080729099987,1761855168.4155552,34273574066.13387
2024-03-30,XRP,0.6305848703146155,1810865704.4246035,34637766737.61634
2024-03-31,XRP,0.6210104087173386,1006574238.19931,34096669844.56455
2024-04-01,XRP,0.6289626324319613,732142319.3189579,34561603886.808945
2024-04-02,XRP,0.6121526997891189,1800822369.2689497,33682651601.274323
2024-04-03,XRP,0.5852372065222671,2179373589.0881767,32172051114.724525
2024-04-04,XRP,0.5753905054850376,1630542335.8400052,31647732123.39869
2024-04-05,XRP,0.5934624401692647,2192296815.868119,32644896842.28427
2024-04-06,XRP,0.5880582489371499,1522489715.0235868,32396767457.237
2024-04-07,XRP,0.593399180755894,844787189.139441,32626389671.822033
2024-04-08,XRP,0.5946706032478942,917016883.4845006,32726439809.179348
2024-04-09,XRP,0.6155434564282665,1976633580.7557676,33906075770.40597
2024-04-10,XRP,0.6136939377820809,2325731293.341634,33802909045.713825
2024-04-11,XRP,0.6173727496999488,2307237722.1712985,33999810733.863674
2024-04-12,XRP,0.6088535069747201,1207823948.0649233,33528540225.702854
2024-04-13,XRP,0.5484622507114363,2787087618.837457,30211663516.7453
2024-04-14,XRP,0.4808669999524838,3753284209.2149534,26528974004.23356
2024-04-15,XRP,0.5051394506387745,2763070329.2770753,27843729570.503105
2024-04-16,XRP,0.49745578757191317,2330506723.727513,27395426321.647232
2024-04-17,XRP,0.4964339164181767,1875946816.3732798,27380210300.230762
2024-04-18,XRP,0.4947978579065567,1737556166.4999344,27284905063.90103
2024-04-19,XRP,0.502630196282461,1400559368.0844016,27734895374.21874
2024-04-20,XRP,0.5043368864906008,2152015538.6553473,27799384372.03649
2024-04-21,XRP,0.5286489200145418,1198726897.2179945,29130877514.949512
2024-04-22,XRP,0.5242693710717946,838991356.8886632,28911826071.827423
2024-04-23,XRP,0.5560803600247968,1670893669.617624,30664208232.561184
2024-04-24,XRP,0.5453395286462999,1260908926.573041,30059898224.585014
2024-04-25,XRP,0.5271463755065346,1425890170.8488202,29053044957.669495
2024-04-26,XRP,0.5254278109474143,1198407375.1373465,28975660062.835464
2024-04-27,XRP,0.5259415260233568,1089752667.7747374,29039049177.97214
2024-04-28,XRP,0.5185389193383645,682968215.5590384,28641470302.59924
2024-04-29,XRP,0.5100104939611708,521543884.07764995,28171052737.95641
2024-04-30,XRP,0.5148709146825781,1060036556.7544429,28447759625.968727
2024-05-01,XRP,0.5001775403025187,1279616341.2014637,27662546470.185024
2024-05-02,XRP,0.5160164931063639,1626869635.1512997,28631367914.936714
2024-05-03,XRP,0.5183776413164685,1103496031.2413957,28656212776.118954
2024-05-04,XRP,0.5315301341407143,1074787783.5846288,29384228180.813805
2024-05-05,XRP,0.5300105607936496,623244491.1997595,29279991658.38644
2024-05-06,XRP,0.5294979420549052,491300319.19705117,29235021720.86141
2024-05-07,XRP,0.5404023687654772,1698268116.0302644,29865604102.123417
2024-05-08,XRP,0.5246883754721942,1075084837.235221,29023410742.862503
2024-05-09,XRP,0.5178240893599528,1070839646.3608068,28632732926.19496
2024-05-10,XRP,0.5211118430130988,956416697.3675985,28852553645.412766
2024-05-11,XRP,0.5022257971759626,1034572060.3529702,27805566492.72295
2024-05-12,XRP,0.5054656906230262,406960446.237522,27983303337.752636
2024-05-13,XRP,0.49963901538682326,352076576.2180431,27659239453.37374
2024-05-14,XRP,0.5045344061884249,935231346.8627325,27952586454.167534
2024-05-15,XRP,0.49970267189552436,882943285.514983,27666455909.699646
2024-05-16,XRP,0.5185941502760736,883132836.9697149,28754605349.06821
2024-05-17,XRP,0.5157962414707458,897793018.4182512,28511823910.504436
2024-05-18,XRP,0.5242031832330836,803544670.6603504,28947104911.248173
2024-05-19,XRP,0.5208113211838373,387460248.4878439,28809721079.404816
2024-05-20,XRP,0.509693996151629,434247284.0880661,28168681074.26362
2024-05-21,XRP,0.5372648118448927,1192240453.723039,29689383430.590553
2024-05-22,XRP,0.5370022098070341,1581545851.1602776,29676043277.621082
2024-05-23,XRP,0.52654382108452,960955918.3390409,29118710429.985874
2024-05-24,XRP,0.5290688230890979,1679831519.9011934,29345333391.213123
2024-05-25,XRP,0.5350915041339305,941518656.9703764,29645509385.224632
2024-05-26,XRP,0.5414632770632677,490212330.01574814,29989136001.159008
2024-05-27,XRP,0.5282323955100391,439766863.08920246,29289489526.897034
2024-05-28,XRP,0.5339956569298308,791092705.015471,29605738422.963
2024-05-29,XRP,0.5280899270598433,910932117.9856793,29300178174.3538
2024-05-30,XRP,0.5230226029339523,913623872.9601555,28993612233.66452
2024-05-31,XRP,0.5189280097690969,999431026.3674443,28781483247.09154
2024-06-01,XRP,0.5180167945986709,929888631.405556,28762498683.161274
2024-06-02,XRP,0.5180393786089577,416219411.1735346,28713066172.364727
2024-06-03,XRP,0.5131175398510724,553036451.9472309,28459868298.883907
2024-06-04,XRP,0.5200612532272225,850885387.7470859,28828528153.20471
2024-06-05,XRP,0.5258777584003161,902630309.9728221,29148962147.63284
2024-06-06,XRP,0.5262661212762775,849105640.75026,29139627869.013515
2024-06-07,XRP,0.5216726475276374,848184259.4834132,28960043467.06969
2024-06-08,XRP,0.4988605379449048,1968456097.6407866,27692854443.163124
