date,symbol,price_usd,volume_usd,market_cap_usd
2024-02-28,DOGE,395.0555551914822,1960998137.9542134,60787603255.22357
2024-02-29,DOGE,416.2538492385853,2552523270.6812797,63859838282.80297
2024-03-01,DOGE,399.78649632596665,2095850379.9644601,61636826474.480034
2024-03-02,DOGE,407.3488446334545,1385332676.797025,62775122739.2423
2024-03-03,DOGE,410.83653411544765,1314387721.2320232,63204592655.47416
2024-03-04,DOGE,414.1969057841646,1719584987.821247,63713281196.55745
2024-03-05,DOGE,420.0075598101946,2307466548.5261006,64496468994.73078
2024-03-06,DOGE,396.65672648040294,4165589173.7583656,61079862301.28702
2024-03-07,DOGE,428.80213449035654,3831483585.8299055,65872619718.35062
2024-03-08,DOGE,473.4638575740399,3666791988.1778173,72859603564.07033
2024-03-09,DOGE,485.3064086191258,4297278095.163874,74464367366.57362
2024-03-10,DOGE,490.13736064360677,2396403755.5708222,75419943809.61679
2024-03-11,DOGE,528.9501964460305,5083263182.690173,81339640186.30394
2024-03-12,DOGE,522.8420431012881,4318571110.963288,80459552313.89815
2024-03-13,DOGE,539.4042062887337,5281781628.366141,82973515890.88303
2024-03-14,DOGE,628.4543092213498,7835799279.381726,96122795409.3688
2024-03-15,DOGE,603.2657507579988,6486341765.175202,92860879159.65866
2024-03-16,DOGE,621.6567029445225,7438316979.551671,95332139987.79802
2024-03-17,DOGE,575.4381141809567,4873020293.876465,88382508261.44727
2024-03-18,DOGE,572.0297309383858,4260820679.340663,87429171406.75659
2024-03-19,DOGE,554.2073180923328,5073017805.860519,85304304767.57788
2024-03-20,DOGE,507.01221814701705,5581637723.701466,78392022182.23827
2024-03-21,DOGE,556.5082042653142,3417739337.2125034,85594796096.20784
2024-03-22,DOGE,553.7225434912489,2672849103.6455946,85103106051.71878
2024-03-23,DOGE,549.8607543980085,3124492965.37726,84337192672.21976
2024-03-24,DOGE,554.1644153997655,1672186083.5208802,85369948094.008
2024-03-25,DOGE,568.7407679771118,1327630622.0122588,87519325913.2085
2024-03-26,DOGE,586.4285039935903,2019031737.032271,89876154813.3603
2024-03-27,DOGE,580.8520230009177,1693306626.7746503,89155437215.42749
2024-03-28,DOGE,575.5479374384904,1665956947.156945,88283571538.5327
2024-03-29,DOGE,583.2907441256798,1634125731.2187436,89729624228.1873
2024-03-30,DOGE,616.5829205548276,2715563835.7356963,94853921652.43852
2024-03-31,DOGE,601.2065057456366,1438092187.0263655,92468814501.94617
2024-04-01,DOGE,606.6259820801984,1048614403.5695298,93359245453.8439
2024-04-02,DOGE,577.9573539863145,1826009070.038375,89063444405.96742
2024-04-03,DOGE,550.8593008357556,2713113953.543752,84673062503.80989
2024-04-04,DOGE,563.5991778362661,1854083309.5616305,86761624020.04276
2024-04-05,DOGE,585.5721433827005,2275897556.8198385,90093875528.11028
2024-04-06,DOGE,580.0675207216524,1806671109.291458,89285197819.99966
2024-04-07,DOGE,585.3939720444681,775436631.6736306,90006788487.53236
2024-04-08,DOGE,584.2989455387399,676313896.1823622,89964937319.40536
2024-04-09,DOGE,587.4568516935112,1495830970.3824892,90363296271.37091
2024-04-10,DOGE,581.1647037421283,1802531702.2026625,89457255374.74617
2024-04-11,DOGE,609.123248047515,1756006041.0397654,93728978737.43872
2024-04-12,DOGE,605.5067164919742,1771383088.2029996,93147540999.4121
2024-04-13,DOGE,596.6581334690918,3524418375.2139387,91576948683.01425
2024-04-14,DOGE,557.2794114511632,3926924238.7333527,86099199589.59917
2024-04-15,DOGE,567.902176887771,2548769847.5184846,87408969382.95634
2024-04-16,DOGE,553.3017633641251,1923606613.7098496,85011167550.37263
2024-04-17,DOGE,536.8348802946696,1724799037.0894043,82504700022.41246
2024-04-18,DOGE,535.0175176971552,2009266142.3478985,82333439697.11719
2024-04-19,DOGE,551.5807533445236,1851464362.011224,84807720112.92725
2024-04-20,DOGE,556.7663487174977,1703907737.928628,85923611883.09119
2024-04-21,DOGE,570.6183474282204,885801600.0482578,87856105612.58598
2024-04-22,DOGE,578.8970832148715,941957910.1681027,89091610679.83578
2024-04-23,DOGE,605.2562833353201,1686206128.5931973,93140127566.27808
2024-04-24,DOGE,606.9990457775368,1640219503.6540399,93383801411.15149
2024-04-25,DOGE,607.5531188061954,1951230236.019648,93635542239.57239
2024-04-26,DOGE,614.4011068572441,1337858222.2618418,94529875011.33803
2024-04-27,DOGE,597.8836087058611,940122408.8368784,91947535564.72083
2024-04-28,DOGE,596.3986208196151,861110797.2417561,91640333790.08267
2024-04-29,DOGE,599.5751191835121,796795163.3849293,92231373171.17761
2024-04-30,DOGE,593.2491133866707,1017859043.8219746,91413161401.81583
2024-05-01,DOGE,578.1898622510048,2100807101.5649204,89108408710.81897
2024-05-02,DOGE,562.220221163871,1783633523.075544,86647236479.9799
2024-05-03,DOGE,560.7053414580814,1016005523.7545738,86212207866.99979
2024-05-04,DOGE,586.4329441429846,1062371452.3404838,90414397262.22981
2024-05-05,DOGE,585.7091919899577,676369302.3120847,90184115704.22137
2024-05-06,DOGE,591.5696864234413,631555782.5424793,90932867485.4695
2024-05-07,DOGE,587.9975276703907,895425709.075658,90503755092.56627
2024-05-08,DOGE,577.8207580787184,929793216.3657267,89135136393.87256
2024-05-09,DOGE,588.6001816817056,1083801549.9128985,90472546734.06448
2024-05-10,DOGE,596.3634049227411,1468087111.8748186,91661021846.34647
2024-05-11,DOGE,585.63209486269,979380477.5432875,90121338453.61612
2024-05-12,DOGE,591.5322705643867,732903351.7545038,90985809410.75032
2024-05-13,DOGE,594.0478928219344,665663954.0845586,91357231413.03365
